id,"Creation Date","Modification Date","SKU (Part Number)","Article Number","Style Code","Season Code","Name (AR)",Name,"Long Description (AR)","Long Description","AIMS Barcode All",HNMDefault~size,HNMDefault~color,HNMDefault~customerGroup,Composition,"im Composition","Country of origin","Image Links","Price AE","Price SA"
14846560,2022-10-17,2024-05-24,HM1057760002237001,1057760002,1057760,237,"ÙƒÙˆØ¨ Ø®Ø²ÙÙŠ","Stoneware vase","Ù…Ø²Ù‡Ø±ÙŠØ© ÙƒØ¨ÙŠØ±Ø© Ù…Ù† Ø§Ù„Ø®Ø²ÙØŒ ØªØªÙ…ÙŠØ² Ø¨ØªØµÙ…ÙŠÙ… ØºÙŠØ± Ù…ØªÙ†Ø§Ø¸Ø±ØŒ ÙˆØ³Ø·Ø­ Ù…Ù†Ù‚ÙˆØ´. Ø£Ø¨Ø¹Ø§Ø¯ Ø§Ù„ÙØªØ­Ø© 6Ã—12 Ø³Ù…ØŒ Ø§Ù„Ø¹Ø±Ø¶ 17. Ø³Ù…ØŒ ÙˆØ§Ù„Ø§Ø±ØªÙØ§Ø¹ 30 Ø³Ù….","Large, asymmetric vase in stoneware with a textured finish. Size of opening 6x12 cm. Width 17.7 cm. Height 30 cm.","701177921901,07314305841583",NOSIZE,White,,"{"""":{""materials"":{""Stone ware"":""100""}}}",NA,CHN," https://media.alshaya.com/adobe/assets/urn:aaid:aem:7d0f477f-52da-4be5-a3ab-41023de24458/as/EID-4efe6e2044216b4bd0e105866dca8d3054a9a28b.jpg?,https://media.alshaya.com/adobe/assets/urn:aaid:aem:16e2212d-68bb-478b-8957-297a2d9fac2e/as/EID-8d3119c4d017f31c8c392115e8d35da57ea714a7.jpg?,https://media.alshaya.com/adobe/assets/urn:aaid:aem:a9c513bc-a6f1-491e-92a2-cfc0309edd2a/as/EID-a7f011874c420046cc1c09fc5d15b0eb7125eeb7.jpg?,",199,199
14846617,2022-10-17,2024-05-30,HM1109628001237001,1109628001,1109628,237,"Ù…Ø²Ù‡Ø±ÙŠØ© Ø´ÙƒÙ„ U","U-bend vase","ØªØ´ÙƒÙŠÙ„Ø© Ø§Ù†ÙƒÙˆÙ…Ù† Ù…Ø§ØªØ±Ø² Ã— Ø§ØªØ´ Ø¢Ù†Ø¯ Ø§Ù… Ù‡ÙˆÙ…. Ù…Ø²Ù‡Ø±ÙŠØ© Ø´ÙƒÙ„ U Ù…ØµÙ†ÙˆØ¹Ø© Ù…Ù† Ø§Ù„Ø®Ø²Ù Ø§Ù„Ù„Ø§Ù…Ø¹ Ù…Ø¹ ÙØªØ­ØªÙŠÙ† Ù„Ø¹Ø±Ø¶ Ø²Ù‡ÙˆØ±Ùƒ Ø§Ù„Ù…ÙØ¶Ù„Ø© Ø¨ÙƒÙ„ Ø³Ù‡ÙˆÙ„Ø©. Ø­Ø§Ù…Ù„ Ù…Ø¹Ø¯Ù†ÙŠ Ù‚Ø§Ø¨Ù„ Ù„Ù„ÙØµÙ„. Ø§Ù„Ù…Ø²Ù‡Ø±ÙŠØ© Ø°Ø§Øª ØªØµÙ…ÙŠÙ… Ø¹ØµØ±ÙŠ Ø£Ù†ÙŠÙ‚ Ù…Ù…Ø§ ÙŠØ¬Ø¹Ù„Ù‡Ø§ Ø§Ù„Ø¥Ø¶Ø§ÙØ© Ø§Ù„Ù…Ø«Ø§Ù„ÙŠØ© Ù„Ù…Ù†Ø²Ù„Ùƒ. Ù‚Ø·Ø± Ø§Ù„ÙØªØ­Ø§Øª 6 Ø³Ù…. Ø§Ù„Ø¹Ø±Ø¶ 18 Ø³Ù…. Ø§Ù„Ø§Ø±ØªÙØ§Ø¹ 26.5 Ø³Ù….","uncommon matters x H&M Home. U-bend vase in glazed stoneware with two openings for displaying your favourite flowers. Detachable metal stand that completes the sculptural expression. This modern, sophisticated vase is a perfect gift for your home. Diameter of openings 6 cm. Width 18 cm. Height 26.5 cm.","662237953301,07314304906450",NOSIZE,White,,"{"""":{""materials"":{""Stone ware"":""100""}}}",NA,CHN," https://media.alshaya.com/adobe/assets/urn:aaid:aem:d017fed9-236c-40ed-8ead-de71f2e36c2e/as/EID-46c64b5dc9b9497b2c67378fca8305ff3990936d.jpg?,https://media.alshaya.com/adobe/assets/urn:aaid:aem:5051036f-92bb-4990-b5fe-1ba56a88b3f1/as/EID-ecf6d2ec38938f3b31e97989f19a155d10908b52.jpg?,https://media.alshaya.com/adobe/assets/urn:aaid:aem:98820010-0ca5-4363-ab4e-814405a07984/as/EID-3dc3307077f2fcfb580060dfefe16089bb6133bc.jpg?,",499,549
14846634,2022-10-17,2024-05-10,HM1125459001237001,1125459001,1125459,237,"Ù…ÙˆØ²Ø¹ Ø§Ù„ØµØ§Ø¨ÙˆÙ†","Soap dispenser","Ù…ÙˆØ²Ø¹ ØµØ§Ø¨ÙˆÙ† Ù…Ù† Ø§Ù„Ø¨Ù„Ø§Ø³ØªÙŠÙƒ Ø¨Ù…Ø¸Ù‡Ø± Ø£Ø³Ù…Ù†Øª. Ø§Ù„Ø§Ø±ØªÙØ§Ø¹ 10.2 Ø³Ù…. Ø§Ù„Ø¹Ø±Ø¶ 7 Ø³Ù…. Ø§Ù„Ø§Ø±ØªÙØ§Ø¹ Ø¨Ø§Ø³ØªØ«Ù†Ø§Ø¡ Ø§Ù„Ù…Ø¶Ø®Ø© 11.3 Ø³Ù….","Geometrical soap dispenser in plastic with a concrete look. Width 7 cm. Height excluding pump 11.3 cm.","750187943201,07314305890826",NOSIZE,White,,"{"""":{""materials"":{""Resin"":""100""}}}",NA,CHN," https://media.alshaya.com/adobe/assets/urn:aaid:aem:ac11e1eb-f1bb-468b-9811-189127a47439/as/EID-83561fa6de158fe26efce28ed9af33a1d0848da4.jpg?,https://media.alshaya.com/adobe/assets/urn:aaid:aem:7d2861e1-667d-43ae-b31a-de240257d492/as/EID-9f2ee19e408bdc9196fb416be12cf0e82ed8e0d5.jpg?,https://media.alshaya.com/adobe/assets/urn:aaid:aem:dfef8e36-2062-4f79-bc7d-2ef5a96246d3/as/EID-b4ff46c21fa6fd25e02d4d7bcc88c26aab731f77.jpg?,",89,95
